Categorie / Subcategorie RO,Category / Subcategory EN,Tip,Categorie părinte RO,Parent category EN,Descriere scurtă RO,Short description EN,Descriere SEO RO,SEO description EN,Meta title RO,Meta description RO,Meta title EN,Meta description EN
Muzee & expoziții,Museums & exhibitions,Categorie principală,,,"Muzee, galerii și expoziții pentru vizite culturale, educative sau interactive.","Museums, galleries and exhibitions for cultural, educational or interactive visits.","Descoperă muzee, galerii, expoziții, planetarii și experiențe interactive. Alege activități potrivite pentru familie, copii, cupluri, prieteni, turiști, școli, echipe sau grupuri, cu rezervare simplă și experiențe ușor de comparat online.","Discover museums, galleries, exhibitions, planetariums and interactive experiences. Choose activities for families, children, couples, friends, tourists, schools, teams or groups, with simple booking and experiences that are easy to compare online.",Muzee & expoziții | Bilete și rezervări online,"Descoperă muzee & expoziții pe bilete.online: activități, experiențe și bilete pentru familie, copii, prieteni, școli, turiști și grupuri.",Museums & exhibitions | Tickets & online bookings,"Discover museums & exhibitions on bilete.online: activities, experiences and tickets for families, children, friends, schools, tourists and groups."
Muzee de artă,Art museums,Subcategorie,Muzee & expoziții,Museums & exhibitions,"Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate.","Cultural and educational visits for curiosity, discovery and quality time.","Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria muzee de artă și compară rapid activitățile disponibile.","Cultural and educational visits for curiosity, discovery and quality time. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book art museums online and compare available experiences quickly.",Muzee de artă | Bilete și rezervări online,"Rezervă muzee de artă pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Art museums | Tickets & online bookings,"Book art museums on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Muzee de istorie,History museums,Subcategorie,Muzee & expoziții,Museums & exhibitions,"Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate.","Cultural and educational visits for curiosity, discovery and quality time.","Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria muzee de istorie și compară rapid activitățile disponibile.","Cultural and educational visits for curiosity, discovery and quality time. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book history museums online and compare available experiences quickly.",Muzee de istorie | Bilete și rezervări online,"Rezervă muzee de istorie pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",History museums | Tickets & online bookings,"Book history museums on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Muzee de știință,Science museums,Subcategorie,Muzee & expoziții,Museums & exhibitions,"Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate.","Cultural and educational visits for curiosity, discovery and quality time.","Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria muzee de știință și compară rapid activitățile disponibile.","Cultural and educational visits for curiosity, discovery and quality time. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book science museums online and compare available experiences quickly.",Muzee de știință | Bilete și rezervări online,"Rezervă muzee de știință pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Science museums | Tickets & online bookings,"Book science museums on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Muzee interactive,Interactive museums,Subcategorie,Muzee & expoziții,Museums & exhibitions,"Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate.","Cultural and educational visits for curiosity, discovery and quality time.","Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria muzee interactive și compară rapid activitățile disponibile.","Cultural and educational visits for curiosity, discovery and quality time. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book interactive museums online and compare available experiences quickly.",Muzee interactive | Bilete și rezervări online,"Rezervă muzee interactive pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Interactive museums | Tickets & online bookings,"Book interactive museums on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Muzee pentru copii,Children’s museums,Subcategorie,Muzee & expoziții,Museums & exhibitions,"Experiențe sigure și atractive pentru copii, cu activități adaptate vârstei.","Safe, engaging experiences for children, with age-appropriate activities.","Experiențe sigure și atractive pentru copii, cu activități adaptate vârstei. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria muzee pentru copii și compară rapid activitățile disponibile.","Safe, engaging experiences for children, with age-appropriate activities. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book children’s museums online and compare available experiences quickly.",Muzee pentru copii | Bilete și rezervări online,"Rezervă muzee pentru copii pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Children’s museums | Tickets & online bookings,"Book children’s museums on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Expoziții temporare,Temporary exhibitions,Subcategorie,Muzee & expoziții,Museums & exhibitions,"Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate.","Cultural and educational visits for curiosity, discovery and quality time.","Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria expoziții temporare și compară rapid activitățile disponibile.","Cultural and educational visits for curiosity, discovery and quality time. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book temporary exhibitions online and compare available experiences quickly.",Expoziții temporare | Bilete și rezervări online,"Rezervă expoziții temporare pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Temporary exhibitions | Tickets & online bookings,"Book temporary exhibitions on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Galerii de artă,Art galleries,Subcategorie,Muzee & expoziții,Museums & exhibitions,"Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate.","Cultural and educational visits for curiosity, discovery and quality time.","Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria galerii de artă și compară rapid activitățile disponibile.","Cultural and educational visits for curiosity, discovery and quality time. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book art galleries online and compare available experiences quickly.",Galerii de artă | Bilete și rezervări online,"Rezervă galerii de artă pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Art galleries | Tickets & online bookings,"Book art galleries on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Planetarii,Planetariums,Subcategorie,Muzee & expoziții,Museums & exhibitions,"Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate.","Cultural and educational visits for curiosity, discovery and quality time.","Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria planetarii și compară rapid activitățile disponibile.","Cultural and educational visits for curiosity, discovery and quality time. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book planetariums online and compare available experiences quickly.",Planetarii | Bilete și rezervări online,"Rezervă planetarii pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Planetariums | Tickets & online bookings,"Book planetariums on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Centre de știință,Science centers,Subcategorie,Muzee & expoziții,Museums & exhibitions,"Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate.","Cultural and educational visits for curiosity, discovery and quality time.","Vizite culturale și educative pentru curiozitate, descoperire și timp de calitate. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria centre de știință și compară rapid activitățile disponibile.","Cultural and educational visits for curiosity, discovery and quality time. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book science centers online and compare available experiences quickly.",Centre de știință | Bilete și rezervări online,"Rezervă centre de știință pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Science centers | Tickets & online bookings,"Book science centers on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Experiențe imersive / interactive,Immersive / interactive experiences,Subcategorie,Muzee & expoziții,Museums & exhibitions,"Experiențe relevante din categoria Muzee & expoziții, ușor de rezervat online.","Relevant experiences in Museums & exhibitions, easy to book online.","Experiențe relevante din categoria Muzee & expoziții, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria experiențe imersive / interactive și compară rapid activitățile disponibile.","Relevant experiences in Museums & exhibitions, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book immersive / interactive experiences online and compare available experiences quickly.",Experiențe imersive / interactive | Bilete și rezervări online,"Rezervă experiențe imersive / interactive pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Immersive / interactive experiences | Tickets & online bookings,"Book immersive / interactive experiences on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Parcuri de distracții,Amusement parks,Categorie principală,,,"Atracții, carusele și experiențe de divertisment pentru copii și adulți.","Rides, carousels and entertainment experiences for children and adults.","Descoperă parcuri de distracții, parcuri tematice, carusele și centre de entertainment. Alege activități potrivite pentru familie, copii, cupluri, prieteni, turiști, școli, echipe sau grupuri, cu rezervare simplă și experiențe ușor de comparat online.","Discover amusement parks, theme parks, carousels and entertainment centers. Choose activities for families, children, couples, friends, tourists, schools, teams or groups, with simple booking and experiences that are easy to compare online.",Parcuri de distracții | Bilete și rezervări online,"Descoperă parcuri de distracții pe bilete.online: activități, experiențe și bilete pentru familie, copii, prieteni, școli, turiști și grupuri.",Amusement parks | Tickets & online bookings,"Discover amusement parks on bilete.online: activities, experiences and tickets for families, children, friends, schools, tourists and groups."
Parcuri de distracții clasice,Classic amusement parks,Subcategorie,Parcuri de distracții,Amusement parks,"Experiențe de divertisment, joacă și distracție pentru copii și adulți.","Entertainment, play and fun experiences for children and adults.","Experiențe de divertisment, joacă și distracție pentru copii și adulți. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria parcuri de distracții clasice și compară rapid activitățile disponibile.","Entertainment, play and fun experiences for children and adults. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book classic amusement parks online and compare available experiences quickly.",Parcuri de distracții clasice | Bilete și rezervări online,"Rezervă parcuri de distracții clasice pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Classic amusement parks | Tickets & online bookings,"Book classic amusement parks on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Parcuri tematice,Theme parks,Subcategorie,Parcuri de distracții,Amusement parks,"Experiențe de divertisment, joacă și distracție pentru copii și adulți.","Entertainment, play and fun experiences for children and adults.","Experiențe de divertisment, joacă și distracție pentru copii și adulți. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria parcuri tematice și compară rapid activitățile disponibile.","Entertainment, play and fun experiences for children and adults. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book theme parks online and compare available experiences quickly.",Parcuri tematice | Bilete și rezervări online,"Rezervă parcuri tematice pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Theme parks | Tickets & online bookings,"Book theme parks on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Zone de joacă,Play areas,Subcategorie,Parcuri de distracții,Amusement parks,"Experiențe de divertisment, joacă și distracție pentru copii și adulți.","Entertainment, play and fun experiences for children and adults.","Experiențe de divertisment, joacă și distracție pentru copii și adulți. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria zone de joacă și compară rapid activitățile disponibile.","Entertainment, play and fun experiences for children and adults. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book play areas online and compare available experiences quickly.",Zone de joacă | Bilete și rezervări online,"Rezervă zone de joacă pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Play areas | Tickets & online bookings,"Book play areas on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Parcuri pentru copii,Children’s parks,Subcategorie,Parcuri de distracții,Amusement parks,"Experiențe sigure și atractive pentru copii, cu activități adaptate vârstei.","Safe, engaging experiences for children, with age-appropriate activities.","Experiențe sigure și atractive pentru copii, cu activități adaptate vârstei. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria parcuri pentru copii și compară rapid activitățile disponibile.","Safe, engaging experiences for children, with age-appropriate activities. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book children’s parks online and compare available experiences quickly.",Parcuri pentru copii | Bilete și rezervări online,"Rezervă parcuri pentru copii pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Children’s parks | Tickets & online bookings,"Book children’s parks on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Parcuri indoor,Indoor parks,Subcategorie,Parcuri de distracții,Amusement parks,"Experiențe de divertisment, joacă și distracție pentru copii și adulți.","Entertainment, play and fun experiences for children and adults.","Experiențe de divertisment, joacă și distracție pentru copii și adulți. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria parcuri indoor și compară rapid activitățile disponibile.","Entertainment, play and fun experiences for children and adults. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book indoor parks online and compare available experiences quickly.",Parcuri indoor | Bilete și rezervări online,"Rezervă parcuri indoor pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Indoor parks | Tickets & online bookings,"Book indoor parks on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Parcuri sezoniere,Seasonal parks,Subcategorie,Parcuri de distracții,Amusement parks,"Experiențe de divertisment, joacă și distracție pentru copii și adulți.","Entertainment, play and fun experiences for children and adults.","Experiențe de divertisment, joacă și distracție pentru copii și adulți. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria parcuri sezoniere și compară rapid activitățile disponibile.","Entertainment, play and fun experiences for children and adults. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book seasonal parks online and compare available experiences quickly.",Parcuri sezoniere | Bilete și rezervări online,"Rezervă parcuri sezoniere pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Seasonal parks | Tickets & online bookings,"Book seasonal parks on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Carusele / atracții mecanice,Carousels / mechanical rides,Subcategorie,Parcuri de distracții,Amusement parks,"Experiențe de divertisment, joacă și distracție pentru copii și adulți.","Entertainment, play and fun experiences for children and adults.","Experiențe de divertisment, joacă și distracție pentru copii și adulți. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria carusele / atracții mecanice și compară rapid activitățile disponibile.","Entertainment, play and fun experiences for children and adults. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book carousels / mechanical rides online and compare available experiences quickly.",Carusele / atracții mecanice | Bilete și rezervări online,"Rezervă carusele / atracții mecanice pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Carousels / mechanical rides | Tickets & online bookings,"Book carousels / mechanical rides on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Experiențe family entertainment center,Family entertainment center experiences,Subcategorie,Parcuri de distracții,Amusement parks,"Experiențe relevante din categoria Parcuri de distracții, ușor de rezervat online.","Relevant experiences in Amusement parks, easy to book online.","Experiențe relevante din categoria Parcuri de distracții, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria experiențe family entertainment center și compară rapid activitățile disponibile.","Relevant experiences in Amusement parks, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book family entertainment center experiences online and compare available experiences quickly.",Experiențe family entertainment center | Bilete online,"Rezervă experiențe family entertainment center pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau…",Family entertainment center experiences | Online tickets,"Book family entertainment center experiences on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Parcuri de aventură,Adventure parks,Categorie principală,,,"Trasee, tiroliene și provocări outdoor pentru copii, adolescenți și adulți.","Treetop courses, zip lines and outdoor challenges for children, teens and adults.","Descoperă trasee în copaci, tiroliene, escaladă și activități outdoor. Alege activități potrivite pentru familie, copii, cupluri, prieteni, turiști, școli, echipe sau grupuri, cu rezervare simplă și experiențe ușor de comparat online.","Discover treetop courses, zip lines, climbing and outdoor activities. Choose activities for families, children, couples, friends, tourists, schools, teams or groups, with simple booking and experiences that are easy to compare online.",Parcuri de aventură | Bilete și rezervări online,"Descoperă parcuri de aventură pe bilete.online: activități, experiențe și bilete pentru familie, copii, prieteni, școli, turiști și grupuri.",Adventure parks | Tickets & online bookings,"Discover adventure parks on bilete.online: activities, experiences and tickets for families, children, friends, schools, tourists and groups."
Trasee în copaci,Treetop courses,Subcategorie,Parcuri de aventură,Adventure parks,"Experiențe relevante din categoria Parcuri de aventură, ușor de rezervat online.","Relevant experiences in Adventure parks, easy to book online.","Experiențe relevante din categoria Parcuri de aventură, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria trasee în copaci și compară rapid activitățile disponibile.","Relevant experiences in Adventure parks, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book treetop courses online and compare available experiences quickly.",Trasee în copaci | Bilete și rezervări online,"Rezervă trasee în copaci pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Treetop courses | Tickets & online bookings,"Book treetop courses on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
